Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
<800 EUR	We have found two available options for your chosen options (50+, Car, <800 EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	145
800-1300 EUR	We have found two available options for your chosen options (50+, Business, 800-1300 EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	146
800-1300 EUR	We have found two available options for your chosen options (50+, Car, 800-1300 EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	147
<800 EUR	We have found two available options for your chosen options (50+, House, <800 EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	148
800-1300 EUR	We have found two available options for your chosen options (50+, House, 800-1300 EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	149
<800 EUR	We have found two available options for your chosen options (30-49, Business, <800 EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	150
800-1300 EUR	We have found two available options for your chosen options (30-49, Business, 800-1300 EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	151
<800 EUR	We have found two available options for your chosen options (30-49, Car, <800 EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	152
800-1300 EUR	We have found two available options for your chosen options (30-49, Car, 800-1300 EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	153
<800 EUR	We have found two available options for your chosen options (30-49, House, <800 EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	154
800-1300 EUR	We have found two available options for your chosen options (30-49, House, 800-1300 EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	155
1300+ EUR	We have found two available options for your chosen options (50+, Business, 1300+ EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	156
1300+ EUR	We have found two available options for your chosen options (50+, Car, 1300+ EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	157
1300+ EUR	We have found two available options for your chosen options (50+, House, 1300+ EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	158
1300+ EUR	We have found two available options for your chosen options (30-49, Business, 1300+ EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	159
1300+ EUR	We have found two available options for your chosen options (30-49, Car, 1300+ EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	160
1300+ EUR	We have found two available options for your chosen options (30-49, House, 1300+ EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	161
Are you old?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
I bet you're old	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
How old are you?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
how long have you been around?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
How long have you been alive?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
How long has it been since you were born	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
How long ago were you born?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Do you have an age?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Do you have a birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you younger than me?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are we the same age?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
are you older than me?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What age are you?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you my age?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you in your teens?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you an adult?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you a teenager?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you a senior?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you a kid?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you a grownup?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you a grown up?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you a baby?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Are you young?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
When were you born?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Who's younger, you or me?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Who's older?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Who's older, you or me?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Who is older, me or you?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Which year were you born in?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Which one of us is younger?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Which one of us is older?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Which of us is younger?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Which of us is older?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
I bet you're young	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
When's your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
In which year were you born?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
When is your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What's your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What's your age?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What year were you born?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What month is your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What month is your birthday in?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What is your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What is your age?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
What day is your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Who's younger?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Which month is your birthday?	I'm a bot, so I don't have an age.	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	162
Please ask something about myself	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Is there anything I can tell you about myself?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Is there anything I can tell you about who I am?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Is there anything you want to know about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Is there something you want to know about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask anything	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask anything about me	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask anything about myself	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask me anything	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask me anything about me	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask me anything about myself	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask me something	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask me something about me	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask me something about myself	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
AMA	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I tell you about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What do you want me to teach you about?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What do you want me to teach you about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What do you want me to inform you who I am?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What do you want me to inform you about?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What do you want me to inform you about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask something	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I tell you about?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Please ask something about me	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I teach you who I am?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I teach you about?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I teach you about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I inform you about?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I inform you about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Don't you want to know anything about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What can I tell you who I am?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask anything about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
How about asking something about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me something about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me anything about myself?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me anything about me?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me anything?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me something?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask anything about myself?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me why I'm here?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask anything?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Ask me something	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Ask me anything	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Ask me about something	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Ask me about anything	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Ask me a question	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Can you ask me a question?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
Do you want to ask me anything?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
What do you want me to tell you about?	I can't think of anything to ask!	qna_chitchat_enthusiastic.tsv	editorial:chitchat	[]	false	[]	163
